"city1,city2,city3,mint,seasonal"
"ACK,JFK,DEN,0,1"
"AUA,BOS,DEN,1,1"
"AUA,JFK,DEN,1,0"
"BDA,BOS,DEN,0,0"
"BOS,0,DEN,0,0"
"BOS,JFK,DEN,0,0"
"BQN,JFK,DEN,0,0"
"BTV,JFK,DEN,0,0"
"BUF,BOS,DEN,0,0"
"BUF,JFK,DEN,0,0"
"BWI,BOS,DEN,0,0"
"CHS,BOS,DEN,0,0"
"CHS,JFK,DEN,0,0"
"DCA,BOS,DEN,0,0"
"DEN,0,BOS,0,0"
"DEN,0,JFK,0,0"
"DEN,BOS,ACK,0,1"
"DEN,BOS,AUA,1,1"
"DEN,BOS,BDA,0,0"
"DEN,BOS,BGI,1,1"
"DEN,BOS,BUF,0,0"
"DEN,BOS,BWI,0,0"
"DEN,BOS,CHS,0,0"
"DEN,BOS,CLE,0,0"
"DEN,BOS,CLT,0,0"
"DEN,BOS,DCA,0,0"
"DEN,BOS,EWR,0,0"
"DEN,BOS,FLL,0,0"
"DEN,BOS,GCM,0,1"
"DEN,BOS,HAV,0,0"
"DEN,BOS,IAD,0,0"
"DEN,BOS,JAX,0,0"
"DEN,BOS,JFK,0,0"
"DEN,BOS,LGA,0,0"
"DEN,BOS,MBJ,0,0"
"DEN,BOS,NAS,0,1"
"DEN,BOS,PAP,0,0"
"DEN,BOS,PBI,0,0"
"DEN,BOS,PHL,0,0"
"DEN,BOS,PIT,0,0"
"DEN,BOS,PLS,0,1"
"DEN,BOS,POP,0,1"
"DEN,BOS,PUJ,0,0"
"DEN,BOS,RDU,0,0"
"DEN,BOS,RIC,0,0"
"DEN,BOS,SAV,0,0"
"DEN,BOS,SDQ,0,0"
"DEN,BOS,SJU,0,0"
"DEN,BOS,STI,0,0"
"DEN,BOS,UVF,1,1"
"DEN,JFK,ACK,0,1"
"DEN,JFK,ANU,0,0"
"DEN,JFK,ATL,0,0"
"DEN,JFK,AUA,1,0"
"DEN,JFK,BDA,0,0"
"DEN,JFK,BGI,1,0"
"DEN,JFK,BOS,0,0"
"DEN,JFK,BQN,0,0"
"DEN,JFK,BTV,0,0"
"DEN,JFK,BUF,0,0"
"DEN,JFK,CHS,0,0"
"DEN,JFK,CLT,0,0"
"DEN,JFK,CTG,0,0"
"DEN,JFK,CUR,0,0"
"DEN,JFK,DAB,0,0"
"DEN,JFK,FLL,0,0"
"DEN,JFK,GCM,0,0"
"DEN,JFK,GND,1,1"
"DEN,JFK,HAV,0,0"
"DEN,JFK,IAD,0,0"
"DEN,JFK,JAX,0,0"
"DEN,JFK,KIN,0,0"
"DEN,JFK,LRM,0,0"
"DEN,JFK,MBJ,0,0"
"DEN,JFK,MCO,0,0"
"DEN,JFK,MVY,0,1"
"DEN,JFK,NAS,0,0"
"DEN,JFK,ORH,0,0"
"DEN,JFK,PAP,0,0"
"DEN,JFK,PBI,0,0"
"DEN,JFK,PLS,0,0"
"DEN,JFK,POP,0,0"
"DEN,JFK,POS,0,0"
"DEN,JFK,PSE,0,0"
"DEN,JFK,PUJ,0,0"
"DEN,JFK,PWM,0,0"
"DEN,JFK,RDU,0,0"
"DEN,JFK,ROC,0,0"
"DEN,JFK,RSW,0,0"
"DEN,JFK,SAV,0,0"
"DEN,JFK,SDQ,0,0"
"DEN,JFK,SJU,0,0"
"DEN,JFK,SRQ,0,0"
"DEN,JFK,STI,0,0"
"DEN,JFK,SXM,0,0"
"DEN,JFK,SYR,0,0"
"DEN,JFK,TPA,0,0"
"DEN,JFK,UVF,1,1"